日期,产品,销售额,销量,成本,利润,部门,地区
2022-04-30,产品E,1784,113,1086,698,销售部,华中
2022-05-01,产品A,13533,185,7657,5876,销售部,华东
2022-05-02,产品B,6801,256,3576,3225,销售部,华北
2022-05-03,产品C,30592,417,20618,9974,销售部,华南
2022-05-04,产品D,23009,400,12665,10344,销售部,西南
2022-05-05,产品E,5780,29,3439,2341,销售部,华中
2022-05-06,产品A,7655,409,3178,4477,销售部,华东
2022-05-07,产品B,23386,480,9548,13838,销售部,华北
2022-05-08,产品C,33097,331,17592,15505,销售部,华南
2022-05-09,产品D,34621,60,18684,15937,销售部,西南
2022-05-10,产品E,23677,323,15582,8095,销售部,华中
2022-05-11,产品A,32024,189,13182,18842,销售部,华东
2022-05-12,产品B,30749,453,15312,15437,销售部,华北
2022-05-13,产品C,15599,62,7510,8089,销售部,华南
2022-05-14,产品D,49747,14,26723,23024,销售部,西南
2022-05-15,产品E,1876,489,1049,827,销售部,华中
2022-05-16,产品A,5142,364,3040,2102,销售部,华东
2022-05-17,产品B,8987,153,6225,2762,销售部,华北
2022-05-18,产品C,18019,115,8953,9066,销售部,华南
2022-05-19,产品D,22136,129,10652,11484,销售部,西南
2022-05-20,产品E,29251,67,12388,16863,销售部,华中
2022-05-21,产品A,26316,483,18126,8190,销售部,华东
2022-05-22,产品B,2150,402,1304,846,销售部,华北
2022-05-23,产品C,2081,131,930,1151,销售部,华南
2022-05-24,产品D,47175,135,20198,26977,销售部,西南
2022-05-25,产品E,21056,497,14326,6730,销售部,华中
2022-05-26,产品A,46952,281,26058,20894,销售部,华东
2022-05-27,产品B,30375,456,16120,14255,销售部,华北
2022-05-28,产品C,9130,85,5202,3928,销售部,华南
2022-05-29,产品D,4506,494,1964,2542,销售部,西南
2022-05-30,产品E,28932,471,12369,16563,销售部,华中
2022-05-31,产品A,45078,103,29599,15479,销售部,华东
2022-06-01,产品B,30124,213,12204,17920,销售部,华北
2022-06-02,产品C,36247,350,19647,16600,销售部,华南
2022-06-03,产品D,38220,32,15839,22381,销售部,西南
2022-06-04,产品E,15069,334,10036,5033,销售部,华中
2022-06-05,产品A,41158,403,24190,16968,销售部,华东
2022-06-06,产品B,36257,105,23818,12439,销售部,华北
2022-06-07,产品C,10540,13,6163,4377,销售部,华南
2022-06-08,产品D,39646,267,16173,23473,销售部,西南
2022-06-09,产品E,26471,169,18055,8416,销售部,华中
2022-06-10,产品A,19071,405,9849,9222,销售部,华东
2022-06-11,产品B,36195,42,19453,16742,销售部,华北
2022-06-12,产品C,36506,436,24913,11593,销售部,华南
2022-06-13,产品D,41770,74,28752,13018,销售部,西南
2022-06-14,产品E,4913,52,2253,2660,销售部,华中
2022-06-15,产品A,44404,21,19104,25300,销售部,华东
2022-06-16,产品B,13161,262,5637,7524,销售部,华北
2022-06-17,产品C,35850,224,15105,20745,销售部,华南
2022-06-18,产品D,26351,102,17219,9132,销售部,西南
2022-06-19,产品E,10817,427,5172,5645,销售部,华中
2022-06-20,产品A,21358,205,12982,8376,销售部,华东
2022-06-21,产品B,39513,84,26206,13307,销售部,华北
2022-06-22,产品C,41355,226,26510,14845,销售部,华南
2022-06-23,产品D,28384,173,12864,15520,销售部,西南
2022-06-24,产品E,19888,417,12769,7119,销售部,华中
2022-06-25,产品A,49816,108,26092,23724,销售部,华东
2022-06-26,产品B,38841,496,22301,16540,销售部,华北
2022-06-27,产品C,24190,199,13753,10437,销售部,华南
2022-06-28,产品D,45811,378,27667,18144,销售部,西南
2022-06-29,产品E,44286,226,20879,23407,销售部,华中
2022-06-30,产品A,47352,378,26118,21234,销售部,华东
2022-07-01,产品B,47959,226,23788,24171,销售部,华北
2022-07-02,产品C,1698,28,877,821,销售部,华南
2022-07-03,产品D,17779,454,11940,5839,销售部,西南
2022-07-04,产品E,37939,274,18809,19130,销售部,华中
2022-07-05,产品A,18101,232,12402,5699,销售部,华东
2022-07-06,产品B,6486,153,3466,3020,销售部,华北
2022-07-07,产品C,38259,34,21658,16601,销售部,华南
2022-07-08,产品D,22972,493,15709,7263,销售部,西南
2022-07-09,产品E,2167,66,940,1227,销售部,华中
2022-07-10,产品A,25244,51,17475,7769,销售部,华东
2022-07-11,产品B,23925,232,9971,13954,销售部,华北
2022-07-12,产品C,24714,224,13933,10781,销售部,华南
2022-07-13,产品D,25394,155,17536,7858,销售部,西南
2022-07-14,产品E,49136,83,31991,17145,销售部,华中
2022-07-15,产品A,8056,262,5248,2808,销售部,华东
2022-07-16,产品B,22677,150,10585,12092,销售部,华北
2022-07-17,产品C,28569,292,17480,11089,销售部,华南
2022-07-18,产品D,18924,38,8051,10873,销售部,西南
2022-07-19,产品E,27962,145,14324,13638,销售部,华中
2022-07-20,产品A,27432,351,17661,9771,销售部,华东
2022-07-21,产品B,41262,226,23831,17431,销售部,华北
2022-07-22,产品C,36909,261,15688,21221,销售部,华南
2022-07-23,产品D,7588,373,4306,3282,销售部,西南
2022-07-24,产品E,26289,355,13120,13169,销售部,华中
2022-07-25,产品A,16485,460,7848,8637,销售部,华东
2022-07-26,产品B,22233,229,12704,9529,销售部,华北
2022-07-27,产品C,31355,485,19758,11597,销售部,华南
2022-07-28,产品D,26470,370,16497,9973,销售部,西南
2022-07-29,产品E,40298,470,18990,21308,销售部,华中
2022-07-30,产品A,1504,200,817,687,销售部,华东
2022-07-31,产品B,24960,321,13940,11020,销售部,华北
2022-08-01,产品C,47196,143,30235,16961,销售部,华南
2022-08-02,产品D,46740,169,26492,20248,销售部,西南
2022-08-03,产品E,38678,158,15974,22704,销售部,华中
2022-08-04,产品A,28860,212,19501,9359,销售部,华东
2022-08-05,产品B,26826,156,18531,8295,销售部,华北
2022-08-06,产品C,49529,56,29163,20366,销售部,华南
2022-08-07,产品D,39413,152,21139,18274,销售部,西南
2022-08-08,产品E,43356,63,24942,18414,销售部,华中
2022-08-09,产品A,20087,480,8308,11779,销售部,华东
2022-08-10,产品B,14323,339,9813,4510,销售部,华北
2022-08-11,产品C,22447,367,12047,10400,销售部,华南
2022-08-12,产品D,1667,382,805,862,销售部,西南
2022-08-13,产品E,47427,173,25568,21859,销售部,华中
2022-08-14,产品A,20129,325,11576,8553,销售部,华东
2022-08-15,产品B,28355,366,19630,8725,销售部,华北
2022-08-16,产品C,21159,420,12895,8264,销售部,华南
2022-08-17,产品D,41080,210,20246,20834,销售部,西南
2022-08-18,产品E,36547,249,16401,20146,销售部,华中
2022-08-19,产品A,35349,44,22862,12487,销售部,华东
2022-08-20,产品B,6713,380,4146,2567,销售部,华北
2022-08-21,产品C,11136,459,4730,6406,销售部,华南
2022-08-22,产品D,24793,260,10253,14540,销售部,西南
2022-08-23,产品E,2015,298,1276,739,销售部,华中
2022-08-24,产品A,35961,233,25013,10948,销售部,华东
2022-08-25,产品B,24833,72,12860,11973,销售部,华北
2022-08-26,产品C,7970,292,4548,3422,销售部,华南
2022-08-27,产品D,21384,107,8789,12595,销售部,西南
2022-08-28,产品E,9702,394,3920,5782,销售部,华中
2022-08-29,产品A,48926,15,29723,19203,销售部,华东
2022-08-30,产品B,33606,142,23490,10116,销售部,华北
2022-08-31,产品C,24574,494,15182,9392,销售部,华南
2022-09-01,产品D,5809,467,2982,2827,销售部,西南
2022-09-02,产品E,49212,87,22712,26500,销售部,华中
2022-09-03,产品A,35816,60,17278,18538,销售部,华东
2022-09-04,产品B,22949,458,13804,9145,销售部,华北
2022-09-05,产品C,43783,43,22217,21566,销售部,华南
2022-09-06,产品D,8239,48,4955,3284,销售部,西南
2022-09-07,产品E,44125,268,24535,19590,销售部,华中
2022-09-08,产品A,38131,458,21565,16566,销售部,华东
2022-09-09,产品B,42348,487,28076,14272,销售部,华北
2022-09-10,产品C,43808,410,19284,24524,销售部,华南
2022-09-11,产品D,20758,416,13005,7753,销售部,西南
2022-09-12,产品E,40764,407,24915,15849,销售部,华中
2022-09-13,产品A,16781,201,6785,9996,销售部,华东
2022-09-14,产品B,7949,315,4586,3363,销售部,华北
2022-09-15,产品C,7941,344,4218,3723,销售部,华南
2022-09-16,产品D,11209,317,6324,4885,销售部,西南
2022-09-17,产品E,32703,344,16971,15732,销售部,华中
2022-09-18,产品A,5854,115,3856,1998,销售部,华东
2022-09-19,产品B,38660,397,20791,17869,销售部,华北
2022-09-20,产品C,20856,339,13153,7703,销售部,华南
2022-09-21,产品D,37932,43,22237,15695,销售部,西南
2022-09-22,产品E,6569,214,3039,3530,销售部,华中
2022-09-23,产品A,13015,468,5502,7513,销售部,华东
2022-09-24,产品B,18144,160,7954,10190,销售部,华北
2022-09-25,产品C,7238,468,3196,4042,销售部,华南
2022-09-26,产品D,25071,397,11396,13675,销售部,西南
2022-09-27,产品E,43679,290,29222,14457,销售部,华中
2022-09-28,产品A,37034,164,22230,14804,销售部,华东
2022-09-29,产品B,11161,70,5108,6053,销售部,华北
2022-09-30,产品C,24954,286,11246,13708,销售部,华南
2022-10-01,产品D,46659,179,21141,25518,销售部,西南
2022-10-02,产品E,14716,335,6418,8298,销售部,华中
2022-10-03,产品A,40144,21,18542,21602,销售部,华东
2022-10-04,产品B,43928,87,21921,22007,销售部,华北
2022-10-05,产品C,17282,82,7391,9891,销售部,华南
2022-10-06,产品D,23574,130,14293,9281,销售部,西南
2022-10-07,产品E,46162,328,23689,22473,销售部,华中
2022-10-08,产品A,5432,35,3587,1845,销售部,华东
2022-10-09,产品B,15178,262,10562,4616,销售部,华北
2022-10-10,产品C,1302,136,881,421,销售部,华南
2022-10-11,产品D,9717,483,6102,3615,销售部,西南
2022-10-12,产品E,3125,225,1925,1200,销售部,华中
2022-10-13,产品A,40577,23,18029,22548,销售部,华东
2022-10-14,产品B,6126,12,4095,2031,销售部,华北
2022-10-15,产品C,20181,372,11293,8888,销售部,华南
2022-10-16,产品D,41940,283,22405,19535,销售部,西南
2022-10-17,产品E,40650,380,19216,21434,销售部,华中
2022-10-18,产品A,9152,128,4696,4456,销售部,华东
2022-10-19,产品B,26289,48,13055,13234,销售部,华北
2022-10-20,产品C,30926,95,15408,15518,销售部,华南
2022-10-21,产品D,48915,34,32634,16281,销售部,西南
2022-10-22,产品E,45243,34,27314,17929,销售部,华中
2022-10-23,产品A,9258,242,5087,4171,销售部,华东
2022-10-24,产品B,27734,237,15562,12172,销售部,华北
2022-10-25,产品C,15369,120,9584,5785,销售部,华南
2022-10-26,产品D,16728,245,7331,9397,销售部,西南
2022-10-27,产品E,36240,110,18443,17797,销售部,华中
2022-10-28,产品A,49447,235,23403,26044,销售部,华东
2022-10-29,产品B,11554,374,5766,5788,销售部,华北
2022-10-30,产品C,29024,298,11675,17349,销售部,华南
2022-10-31,产品D,27900,207,14218,13682,销售部,西南
2022-11-01,产品E,7767,13,5089,2678,销售部,华中
2022-11-02,产品A,11589,104,4829,6760,销售部,华东
2022-11-03,产品B,14046,396,7828,6218,销售部,华北
2022-11-04,产品C,5324,45,3722,1602,销售部,华南
2022-11-05,产品D,17389,331,9960,7429,销售部,西南
2022-11-06,产品E,29746,13,11945,17801,销售部,华中
2022-11-07,产品A,1117,378,611,506,销售部,华东
2022-11-08,产品B,48077,444,31070,17007,销售部,华北
2022-11-09,产品C,1846,212,1054,792,销售部,华南
2022-11-10,产品D,47514,182,29974,17540,销售部,西南
2022-11-11,产品E,7469,419,3712,3757,销售部,华中
2022-11-12,产品A,27386,221,15124,12262,销售部,华东
2022-11-13,产品B,37976,149,16498,21478,销售部,华北
2022-11-14,产品C,40001,151,19464,20537,销售部,华南
2022-11-15,产品D,2828,391,1262,1566,销售部,西南
2022-11-16,产品E,40756,268,16936,23820,销售部,华中
2022-11-17,产品A,46745,19,26391,20354,销售部,华东
2022-11-18,产品B,10865,181,5003,5862,销售部,华北
2022-11-19,产品C,6287,139,2680,3607,销售部,华南
2022-11-20,产品D,2342,110,938,1404,销售部,西南
2022-11-21,产品E,28534,417,16601,11933,销售部,华中
2022-11-22,产品A,37258,103,16095,21163,销售部,华东
2022-11-23,产品B,18988,327,11844,7144,销售部,华北
2022-11-24,产品C,43929,343,29866,14063,销售部,华南
2022-11-25,产品D,37298,146,17213,20085,销售部,西南
2022-11-26,产品E,9162,44,6211,2951,销售部,华中
2022-11-27,产品A,37159,415,15399,21760,销售部,华东
2022-11-28,产品B,22852,337,14816,8036,销售部,华北
2022-11-29,产品C,31523,295,20412,11111,销售部,华南
2022-11-30,产品D,16524,14,7777,8747,销售部,西南
2022-12-01,产品E,1077,419,724,353,销售部,华中
2022-12-02,产品A,17984,246,10367,7617,销售部,华东
2022-12-03,产品B,44303,337,23557,20746,销售部,华北
2022-12-04,产品C,29173,297,15718,13455,销售部,华南
2022-12-05,产品D,7565,362,4722,2843,销售部,西南
2022-12-06,产品E,19574,490,9193,10381,销售部,华中
2022-12-07,产品A,35016,459,19716,15300,销售部,华东
2022-12-08,产品B,37455,113,21996,15459,销售部,华北
2022-12-09,产品C,2970,207,2025,945,销售部,华南
2022-12-10,产品D,32110,188,16070,16040,销售部,西南
2022-12-11,产品E,22951,24,15230,7721,销售部,华中
2022-12-12,产品A,6408,487,4281,2127,销售部,华东
2022-12-13,产品B,34187,166,15230,18957,销售部,华北
2022-12-14,产品C,2120,494,1343,777,销售部,华南
2022-12-15,产品D,3336,263,1539,1797,销售部,西南
2022-12-16,产品E,33265,14,22055,11210,销售部,华中
2022-12-17,产品A,44872,127,29004,15868,销售部,华东
2022-12-18,产品B,24710,312,16158,8552,销售部,华北
2022-12-19,产品C,7359,445,3820,3539,销售部,华南
2022-12-20,产品D,36996,145,16462,20534,销售部,西南
2022-12-21,产品E,15382,333,9485,5897,销售部,华中
2022-12-22,产品A,21609,420,12799,8810,销售部,华东
2022-12-23,产品B,40666,429,22887,17779,销售部,华北
2022-12-24,产品C,35884,157,16308,19576,销售部,华南
2022-12-25,产品D,15153,369,8713,6440,销售部,西南
2022-12-26,产品E,13999,32,7539,6460,销售部,华中
2022-12-27,产品A,11541,372,5147,6394,销售部,华东
2022-12-28,产品B,11380,113,6279,5101,销售部,华北
2022-12-29,产品C,18368,490,7446,10922,销售部,华南
2022-12-30,产品D,34595,180,23511,11084,销售部,西南
2022-12-31,产品E,38219,333,24346,13873,销售部,华中
2022-01-01,产品A,39727,136,17708,22019,销售部,华东
2022-01-02,产品B,42563,296,24772,17791,销售部,华北
2022-01-03,产品C,21530,38,9285,12245,销售部,华南
2022-01-04,产品D,4368,223,2940,1428,销售部,西南
2022-01-05,产品E,35560,311,16740,18820,销售部,华中
2022-01-06,产品A,37185,119,16952,20233,销售部,华东
2022-01-07,产品B,20256,10,13388,6868,销售部,华北
2022-01-08,产品C,38430,380,22188,16242,销售部,华南
2022-01-09,产品D,3708,440,1544,2164,销售部,西南
2022-01-10,产品E,32880,211,21071,11809,销售部,华中
2022-01-11,产品A,37980,163,18991,18989,销售部,华东
2022-01-12,产品B,26150,253,14675,11475,销售部,华北
2022-01-13,产品C,44082,303,22213,21869,销售部,华南
2022-01-14,产品D,9666,427,6529,3137,销售部,西南
2022-01-15,产品E,7783,436,3189,4594,销售部,华中
2022-01-16,产品A,14490,191,6562,7928,销售部,华东
2022-01-17,产品B,2990,189,1571,1419,销售部,华北
2022-01-18,产品C,23359,170,11883,11476,销售部,华南
2022-01-19,产品D,29734,159,13856,15878,销售部,西南
2022-01-20,产品E,17241,478,9561,7680,销售部,华中
2022-01-21,产品A,5944,93,3196,2748,销售部,华东
2022-01-22,产品B,38011,127,25018,12993,销售部,华北
2022-01-23,产品C,22566,198,10275,12291,销售部,华南
2022-01-24,产品D,21806,266,10749,11057,销售部,西南
2022-01-25,产品E,42949,224,22678,20271,销售部,华中
2022-01-26,产品A,34719,220,17526,17193,销售部,华东
2022-01-27,产品B,3717,294,2183,1534,销售部,华北
2022-01-28,产品C,43460,295,28291,15169,销售部,华南
2022-01-29,产品D,24570,27,11995,12575,销售部,西南
2022-01-30,产品E,39258,184,21917,17341,销售部,华中
2022-01-31,产品A,7645,485,4161,3484,销售部,华东
2022-02-01,产品B,12485,175,7860,4625,销售部,华北
2022-02-02,产品C,13342,368,8351,4991,销售部,华南
2022-02-03,产品D,38641,467,25859,12782,销售部,西南
2022-02-04,产品E,48190,64,21533,26657,销售部,华中
2022-02-05,产品A,20846,358,10889,9957,销售部,华东
2022-02-06,产品B,46368,256,22078,24290,销售部,华北
2022-02-07,产品C,31678,452,17475,14203,销售部,华南
2022-02-08,产品D,9519,63,4776,4743,销售部,西南
2022-02-09,产品E,4300,76,2864,1436,销售部,华中
2022-02-10,产品A,21059,273,9051,12008,销售部,华东
2022-02-11,产品B,35911,97,22145,13766,销售部,华北
2022-02-12,产品C,48917,409,25395,23522,销售部,华南
2022-02-13,产品D,42124,191,19440,22684,销售部,西南
2022-02-14,产品E,48838,320,32667,16171,销售部,华中
2022-02-15,产品A,7150,339,3043,4107,销售部,华东
2022-02-16,产品B,3198,94,1304,1894,销售部,华北
2022-02-17,产品C,37220,412,21398,15822,销售部,华南
2022-02-18,产品D,32419,91,21649,10770,销售部,西南
2022-02-19,产品E,24236,413,12136,12100,销售部,华中
2022-02-20,产品A,16358,395,8324,8034,销售部,华东
2022-02-21,产品B,12382,405,8038,4344,销售部,华北
2022-02-22,产品C,34572,431,21854,12718,销售部,华南
2022-02-23,产品D,46960,235,30914,16046,销售部,西南
2022-02-24,产品E,44861,373,19830,25031,销售部,华中
2022-02-25,产品A,49285,129,34283,15002,销售部,华东
2022-02-26,产品B,49854,137,22665,27189,销售部,华北
2022-02-27,产品C,29529,124,16351,13178,销售部,华南
2022-02-28,产品D,13808,49,8418,5390,销售部,西南
2022-03-01,产品E,35072,368,16322,18750,销售部,华中
2022-03-02,产品A,18685,244,9837,8848,销售部,华东
2022-03-03,产品B,42401,38,19144,23257,销售部,华北
2022-03-04,产品C,9996,84,6465,3531,销售部,华南
2022-03-05,产品D,27665,365,15199,12466,销售部,西南
2022-03-06,产品E,27657,26,14425,13232,销售部,华中
2022-03-07,产品A,13875,96,5993,7882,销售部,华东
2022-03-08,产品B,17725,478,8492,9233,销售部,华北
2022-03-09,产品C,16646,143,10314,6332,销售部,华南
2022-03-10,产品D,31987,246,19176,12811,销售部,西南
2022-03-11,产品E,9646,403,6504,3142,销售部,华中
2022-03-12,产品A,36737,478,18917,17820,销售部,华东
2022-03-13,产品B,37397,73,18928,18469,销售部,华北
2022-03-14,产品C,39709,372,18079,21630,销售部,华南
2022-03-15,产品D,22172,301,13997,8175,销售部,西南
2022-03-16,产品E,25063,173,15431,9632,销售部,华中
2022-03-17,产品A,12046,241,6865,5181,销售部,华东
2022-03-18,产品B,29769,64,17834,11935,销售部,华北
2022-03-19,产品C,5853,415,3627,2226,销售部,华南
2022-03-20,产品D,22792,259,9330,13462,销售部,西南
2022-03-21,产品E,49275,476,28506,20769,销售部,华中
2022-03-22,产品A,16850,346,9249,7601,销售部,华东
2022-03-23,产品B,46420,491,27248,19172,销售部,华北
2022-03-24,产品C,41385,82,17486,23899,销售部,华南
2022-03-25,产品D,38904,138,21344,17560,销售部,西南
2022-03-26,产品E,10130,113,5373,4757,销售部,华中
2022-03-27,产品A,14350,300,9266,5084,销售部,华东
2022-03-28,产品B,35020,117,21306,13714,销售部,华北
2022-03-29,产品C,20933,111,12079,8854,销售部,华南
2022-03-30,产品D,27212,53,17476,9736,销售部,西南
2022-03-31,产品E,7960,454,5070,2890,销售部,华中
2022-04-01,产品A,37408,320,20813,16595,销售部,华东
2022-04-02,产品B,21491,327,14774,6717,销售部,华北
2022-04-03,产品C,1338,273,791,547,销售部,华南
2022-04-04,产品D,12344,224,7619,4725,销售部,西南
2022-04-05,产品E,40887,207,28382,12505,销售部,华中
2022-04-06,产品A,12918,68,8994,3924,销售部,华东
2022-04-07,产品B,47617,56,19677,27940,销售部,华北
2022-04-08,产品C,30711,208,21491,9220,销售部,华南
2022-04-09,产品D,23297,478,12626,10671,销售部,西南
2022-04-10,产品E,17774,279,7752,10022,销售部,华中
2022-04-11,产品A,25070,146,11476,13594,销售部,华东
2022-04-12,产品B,9007,324,6154,2853,销售部,华北
2022-04-13,产品C,7737,232,5095,2642,销售部,华南
2022-04-14,产品D,26510,492,13141,13369,销售部,西南
2022-04-15,产品E,1614,282,960,654,销售部,华中
2022-04-16,产品A,36435,197,19832,16603,销售部,华东
2022-04-17,产品B,17514,302,9791,7723,销售部,华北
2022-04-18,产品C,32705,192,17050,15655,销售部,华南
2022-04-19,产品D,41998,24,26928,15070,销售部,西南
2022-04-20,产品E,45547,358,27259,18288,销售部,华中
2022-04-21,产品A,8564,219,4762,3802,销售部,华东
2022-04-22,产品B,14737,117,6924,7813,销售部,华北
2022-04-23,产品C,9502,236,6281,3221,销售部,华南
2022-04-24,产品D,38114,256,17366,20748,销售部,西南
2022-04-25,产品E,30969,425,21052,9917,销售部,华中
2022-04-26,产品A,31586,48,12724,18862,销售部,华东
2022-04-27,产品B,46084,455,19657,26427,销售部,华北
